case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
未加超表面,uav,254619.000547438,4017088479340.13,-0.750000000000082,-0.375,0.14062499999992
加1-bit超表面,uav,255504.35654388,6523288585535.27,-0.750000000000082,-0.375,0.14062499999992
