outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,12,36,"[0,1/10,5/6,14/15]T"
2,1,4,-8.78039156410038,19.6017552491395,"[0,1/10,5/6,14/15]T"
3,1,1,12,36,"[0,1/10,5/6,14/15]T"
4,1,4,-8.78039156410038,19.6017552491395,"[0,1/10,5/6,14/15]T"
1,2,2,7.95897639048925,26.5619918363278,"[0,1/10,5/6,14/15]T"
2,2,3,1.44443257081617,20.528492169843,"[0,1/10,5/6,14/15]T"
3,2,2,7.95897639048925,26.5619918363278,"[0,1/10,5/6,14/15]T"
4,2,3,1.44443257081617,20.528492169843,"[0,1/10,5/6,14/15]T"
1,3,3,1.44443257081617,20.528492169843,"[0,1/10,5/6,14/15]T"
2,3,2,7.95897639048925,26.5619918363278,"[0,1/10,5/6,14/15]T"
3,3,3,1.44443257081617,20.528492169843,"[0,1/10,5/6,14/15]T"
4,3,2,7.95897639048925,26.5619918363278,"[0,1/10,5/6,14/15]T"
1,4,4,-8.78039156410038,19.6017552491395,"[0,1/10,5/6,14/15]T"
2,4,1,12,36,"[0,1/10,5/6,14/15]T"
3,4,4,-8.78039156410038,19.6017552491395,"[0,1/10,5/6,14/15]T"
4,4,1,12,36,"[0,1/10,5/6,14/15]T"
