range_order_nr,azimuth_order_na,amplitude,amplitude_db,visible_points_single,visible_points_four
1,1,0.810569469138702,-1.82419516792648,3784,15136
-3,1,0.270189823046234,-11.3666202623197,2408,9632
5,1,0.16211389382774,-15.8035952546468,1696,6784
1,-3,0.270189823046234,-11.3666202623197,2408,9632
1,5,0.16211389382774,-15.8035952546468,1696,6784
