10,0,8,12,0,3,7,10,13,0,3,5,8,11,15,2
7,10,12,14,1,4,7,10,14,1,5,8,10,12,14,2
6,10,13,0,3,5,8,11,14,1,5,9,12,1,10,14
7,10,13,1,4,8,10,12,14,1,4,7,11,2,9,13
8,10,13,1,4,8,12,0,8,13,1,4,8,11,13,15
11,13,13,15,3,6,9,12,9,13,0,4,7,11,14,1
11,0,7,12,0,3,7,10,13,15,1,4,8,11,14,2
8,10,10,13,0,3,7,10,14,1,4,6,9,11,14,2
6,10,13,15,2,4,7,10,14,1,5,8,11,14,14,0
6,10,13,0,4,7,9,11,14,1,5,8,12,1,8,13
7,10,13,1,4,8,11,15,12,15,2,5,9,11,11,13
9,11,13,0,4,7,11,0,8,12,0,4,7,11,14,0
11,15,6,13,1,4,7,10,12,14,0,4,7,11,14,1
10,14,7,12,15,3,7,10,13,0,3,5,8,11,14,2
6,10,12,14,0,3,7,10,14,1,4,7,10,12,14,1
6,9,13,0,3,5,8,11,14,1,5,8,12,0,8,14
