case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
未加超表面,uav,254619.000547438,4017088479340.13,-0.750000000000082,-0.375,0.14062499999992
加1-bit超表面,uav,134865.18813405,3138228075318.28,3.24999999999996,4.25,0.390624999999778
