case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
未加超表面,uav,169689.804672211,4250796782303.13,-0.625000000000003,-0.625,0.453124999999742
加1-bit超表面（平衡编码）,uav,106568.239808341,3308323472391.29,-3.12500000000015,0,0.296874999999831
加1-bit超表面（30%/70%编码）,uav,86358.0913815744,3312115129190.07,-3.49999999999999,-2.375,0.656249999999627
