45,-90,90,5.97268335076962e-15,-90,-157.5,112.5,45,-22.5,-90,-157.5,157.5,90,22.5,-67.5,-135
112.5,45,5.97268335076962e-15,-45,-112.5,-180,112.5,45,-45,-112.5,157.5,90,45,5.97268335076962e-15,-45,-135
135,45,-22.5,-90,-157.5,157.5,90,22.5,-45,-112.5,157.5,67.5,5.97268335076962e-15,-112.5,45,-45
112.5,45,-22.5,-112.5,-180,90,45,5.97268335076962e-15,-45,-112.5,-180,112.5,22.5,-135,67.5,-22.5
90,45,-22.5,-112.5,-180,90,5.97268335076962e-15,-90,90,-22.5,-112.5,-180,90,22.5,-22.5,-67.5
22.5,-22.5,-22.5,-67.5,-157.5,135,67.5,5.97268335076962e-15,67.5,-22.5,-90,-180,112.5,22.5,-45,-112.5
22.5,-90,112.5,5.97268335076962e-15,-90,-157.5,112.5,45,-22.5,-67.5,-112.5,-180,90,22.5,-45,-135
90,45,45,-22.5,-90,-157.5,112.5,45,-45,-112.5,-180,135,67.5,22.5,-45,-135
135,45,-22.5,-67.5,-135,-180,112.5,45,-45,-112.5,157.5,90,22.5,-45,-45,-90
135,45,-22.5,-90,-180,112.5,67.5,22.5,-45,-112.5,157.5,90,5.97268335076962e-15,-112.5,90,-22.5
112.5,45,-22.5,-112.5,-180,90,22.5,-67.5,5.97268335076962e-15,-67.5,-135,157.5,67.5,22.5,22.5,-22.5
67.5,22.5,-22.5,-90,-180,112.5,22.5,-90,90,5.97268335076962e-15,-90,-180,112.5,22.5,-45,-90
22.5,-67.5,135,-22.5,-112.5,-180,112.5,45,5.97268335076962e-15,-45,-90,-180,112.5,22.5,-45,-112.5
45,-45,112.5,5.97268335076962e-15,-67.5,-157.5,112.5,45,-22.5,-90,-157.5,157.5,90,22.5,-45,-135
135,45,5.97268335076962e-15,-45,-90,-157.5,112.5,45,-45,-112.5,-180,112.5,45,5.97268335076962e-15,-45,-112.5
135,67.5,-22.5,-90,-157.5,157.5,90,22.5,-45,-112.5,157.5,90,5.97268335076962e-15,-90,90,-45
