case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
未加超表面,uav,86416.4440707564,66524282887.96,-0.750000000000082,-1.25,0.0156249999999911
加1-bit超表面,uav,86593.16710417,108069296989.023,-0.750000000000082,-1.25,0.0156249999999911
