N,dc_count_1d,mod_count_1d,H0,H1,A00,A01,A11,max_imbalance_db
4,0,4,0,0.741535723547775,0,0,0.549875229297522,0
5,1,4,0.2,0.59322857883822,0.04,0.118645715767644,0.351920146750414,18.8876827748265
7,3,4,0.428571428571429,0.423734699170157,0.183673469387755,0.181600585358639,0.179551095280823,0.197167413959967
