case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
普通飞机,uav,69332.2758425735,52027453003.6232,-0.625000000000003,-0.5,0.0468749999999734
超表面飞机,uav,25479.1879618687,51929397524.1255,0.87500000000003,0.75,0.124999999999929
