channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz
1,-8,-8,4,0.25,32000000,-42.6666666666667
2,8,-8,4,0.25,-32000000,-42.6666666666667
3,-8,8,4,0.25,32000000,42.6666666666667
4,8,8,4,0.25,-32000000,42.6666666666667
