channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz
1,-8,8,9,0.36,32000000,42.6666666666667
2,0,8,8,0.32,-0,42.6666666666667
3,8,8,8,0.32,-32000000,42.6666666666667
