channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz
1,-8,-8,6,0.122448979591837,32000000,-42.6666666666667
2,-8,0,6,0.122448979591837,32000000,0
3,-8,8,6,0.122448979591837,32000000,42.6666666666667
4,0,-8,6,0.122448979591837,-0,-42.6666666666667
5,0,0,5,0.102040816326531,-0,0
6,0,8,5,0.102040816326531,-0,42.6666666666667
7,8,-8,5,0.102040816326531,-32000000,-42.6666666666667
8,8,0,5,0.102040816326531,-32000000,0
9,8,8,5,0.102040816326531,-32000000,42.6666666666667
