channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,11.2066048694107,-24,5,0.102040816326531,-44826419.4776428,-128,1,5.2066048694107,-24
2,17.2557048945407,-18.6666666666667,5,0.102040816326531,-69022819.5781629,-99.5555555555556,1,11.2557048945407,-18.6666666666667
3,16.9867481536087,-13.3333333333333,5,0.102040816326531,-67946992.6144348,-71.1111111111111,1,10.9867481536087,-13.3333333333333
4,10.5507055518351,-8,5,0.102040816326531,-42202822.2073405,-42.6666666666667,1,4.55070555183514,-8
5,1.56025909250545,-2.66666666666667,5,0.102040816326531,-6241036.37002181,-14.2222222222222,1,-4.43974090749455,-2.66666666666667
6,-4.93807022774008,2.66666666666667,5,0.102040816326531,19752280.9109603,14.2222222222222,1,-10.9380702277401,2.66666666666667
7,-5.29663759993083,8,5,0.102040816326531,21186550.3997233,42.6666666666667,1,-11.2966375999308,8
8,0.685828156475385,13.3333333333333,5,0.102040816326531,-2743312.62590154,71.1111111111111,1,-5.31417184352462,13.3333333333333
9,9.65124697415828,18.6666666666667,5,0.102040816326531,-38604987.8966331,99.5555555555556,1,3.65124697415828,18.6666666666667
10,16.5671463822809,24,4,0.0816326530612245,-66268585.5291235,128,1,10.5671463822809,24
1,-11.2066048694107,-24,5,0.102040816326531,44826419.4776428,-128,2,-5.2066048694107,-24
2,-17.2557048945407,-18.6666666666667,5,0.102040816326531,69022819.5781629,-99.5555555555556,2,-11.2557048945407,-18.6666666666667
3,-16.9867481536087,-13.3333333333333,5,0.102040816326531,67946992.6144348,-71.1111111111111,2,-10.9867481536087,-13.3333333333333
4,-10.5507055518351,-8,5,0.102040816326531,42202822.2073405,-42.6666666666667,2,-4.55070555183514,-8
5,-1.56025909250545,-2.66666666666667,5,0.102040816326531,6241036.37002181,-14.2222222222222,2,4.43974090749455,-2.66666666666667
6,4.93807022774008,2.66666666666667,5,0.102040816326531,-19752280.9109603,14.2222222222222,2,10.9380702277401,2.66666666666667
7,5.29663759993083,8,5,0.102040816326531,-21186550.3997233,42.6666666666667,2,11.2966375999308,8
8,-0.685828156475385,13.3333333333333,5,0.102040816326531,2743312.62590154,71.1111111111111,2,5.31417184352462,13.3333333333333
9,-9.65124697415828,18.6666666666667,5,0.102040816326531,38604987.8966331,99.5555555555556,2,-3.65124697415828,18.6666666666667
10,-16.5671463822809,24,4,0.0816326530612245,66268585.5291235,128,2,-10.5671463822809,24
