channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,3.12842377115886,3.10582854123025,5,0.102040816326531,-12513695.0846354,16.5644188865614,1,-2.87157622884114,3.10582854123025
2,-2.41903551203197,8.48528137423857,4,0.0816326530612245,9676142.0481279,45.254833995939,1,-8.41903551203197,8.48528137423857
3,-7.39275143819185,11.5911099154688,4,0.0816326530612245,29571005.7527674,61.8192528825004,1,-13.3927514381918,11.5911099154688
4,-11.4537734864072,11.5911099154688,4,0.0816326530612245,45815093.9456287,61.8192528825004,1,-17.4537734864072,11.5911099154688
5,-14.3253497152483,8.48528137423858,4,0.0816326530612245,57301398.8609932,45.2548339959391,1,-20.3253497152483,8.48528137423858
6,-15.8117869502238,3.10582854123025,4,0.0816326530612245,63247147.8008953,16.5644188865613,1,-21.8117869502238,3.10582854123025
7,-15.8117869502238,-3.10582854123024,4,0.0816326530612245,63247147.8008953,-16.5644188865613,1,-21.8117869502238,-3.10582854123024
8,-14.3253497152483,-8.48528137423857,4,0.0816326530612245,57301398.8609932,-45.2548339959391,1,-20.3253497152483,-8.48528137423857
9,-11.4537734864072,-11.5911099154688,4,0.0816326530612245,45815093.9456287,-61.8192528825004,1,-17.4537734864072,-11.5911099154688
10,-7.39275143819186,-11.5911099154688,4,0.0816326530612245,29571005.7527674,-61.8192528825004,1,-13.3927514381919,-11.5911099154688
11,-2.41903551203199,-8.48528137423858,4,0.0816326530612245,9676142.04812796,-45.2548339959391,1,-8.41903551203199,-8.48528137423858
12,3.12842377115886,-3.10582854123025,4,0.0816326530612245,-12513695.0846355,-16.5644188865613,1,-2.87157622884114,-3.10582854123025
1,-3.12842377115887,3.10582854123025,5,0.102040816326531,12513695.0846355,16.5644188865613,2,2.87157622884113,3.10582854123025
2,2.41903551203198,8.48528137423857,4,0.0816326530612245,-9676142.0481279,45.254833995939,2,8.41903551203198,8.48528137423857
3,7.39275143819185,11.5911099154688,4,0.0816326530612245,-29571005.7527674,61.8192528825004,2,13.3927514381919,11.5911099154688
4,11.4537734864072,11.5911099154688,4,0.0816326530612245,-45815093.9456287,61.8192528825004,2,17.4537734864072,11.5911099154688
5,14.3253497152483,8.48528137423857,4,0.0816326530612245,-57301398.8609932,45.2548339959391,2,20.3253497152483,8.48528137423857
6,15.8117869502238,3.10582854123025,4,0.0816326530612245,-63247147.8008953,16.5644188865613,2,21.8117869502238,3.10582854123025
7,15.8117869502238,-3.10582854123024,4,0.0816326530612245,-63247147.8008953,-16.5644188865613,2,21.8117869502238,-3.10582854123024
8,14.3253497152483,-8.48528137423857,4,0.0816326530612245,-57301398.8609932,-45.254833995939,2,20.3253497152483,-8.48528137423857
9,11.4537734864072,-11.5911099154688,4,0.0816326530612245,-45815093.9456287,-61.8192528825004,2,17.4537734864072,-11.5911099154688
10,7.39275143819186,-11.5911099154688,4,0.0816326530612245,-29571005.7527674,-61.8192528825004,2,13.3927514381919,-11.5911099154688
11,2.41903551203198,-8.48528137423857,4,0.0816326530612245,-9676142.04812791,-45.2548339959391,2,8.41903551203198,-8.48528137423857
12,-3.12842377115887,-3.10582854123025,4,0.0816326530612245,12513695.0846355,-16.5644188865613,2,2.87157622884113,-3.10582854123025
