case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
普通飞机,preview,466677.783813427,583629937682.387,0,0,0.694444444452537
超表面飞机,preview,158724.764881628,576584575527.218,5,5,4.16666666671522
