Cx_val,Cy_val,frequency_GHz,real,imag,reference_impedance_ohm,magnitude_linear,magnitude_dB,phase_deg_wrapped,phase_deg_unwrapped
0.7,0.7,3,0.427228968033,0.903425584646,376.730313667,0.999350978445,-0.00563915976354,64.6905843679,64.6905843679
0.7,0.7,3.006,0.431151192497,0.901552413271,376.730313667,0.999343837058,-0.005701229571,64.4413821265,64.4413821265
0.7,0.7,3.012,0.435067644697,0.899660949608,376.730313667,0.999336619819,-0.00576395909821,64.1920223902,64.1920223902
0.7,0.7,3.018,0.4389782488,0.897751189757,376.730313667,0.999329325913,-0.0058273554534,63.9425041966,63.9425041966
0.7,0.7,3.024,0.442882928814,0.895823129939,376.730313667,0.999321954511,-0.00589142583974,63.6928265758,63.6928265758
0.7,0.7,3.03,0.446781608588,0.893876766498,376.730313667,0.999314504776,-0.0059561775578,63.44298855,63.44298855
0.7,0.7,3.036,0.45067421181,0.891912095899,376.730313667,0.999306975859,-0.00602161800773,63.1929891341,63.1929891341
0.7,0.7,3.042,0.454560662006,0.889929114727,376.730313667,0.999299366898,-0.00608775469214,62.9428273347,62.9428273347
0.7,0.7,3.048,0.458440882539,0.887927819688,376.730313667,0.999291677019,-0.00615459521923,62.6925021507,62.6925021507
0.7,0.7,3.054,0.462314796606,0.885908207606,376.730313667,0.999283905337,-0.0062221473059,62.4420125731,62.4420125731
0.7,0.7,3.06,0.466182327237,0.883870275424,376.730313667,0.999276050952,-0.00629041878209,62.1913575846,62.1913575846
0.7,0.7,3.066,0.470043397294,0.881814020201,376.730313667,0.999268112952,-0.00635941759507,61.9405361598,61.9405361598
0.7,0.7,3.072,0.473897929469,0.879739439115,376.730313667,0.999260090412,-0.00642915181489,61.6895472651,61.6895472651
0.7,0.7,3.078,0.477745846281,0.877646529458,376.730313667,0.999251982389,-0.00649962964057,61.4383898585,61.4383898585
0.7,0.7,3.084,0.481587070075,0.875535288636,376.730313667,0.999243787927,-0.0065708594079,61.1870628895,61.1870628895
0.7,0.7,3.09,0.485421523023,0.873405714167,376.730313667,0.999235506052,-0.00664284959825,60.935565299,60.935565299
0.7,0.7,3.096,0.489249127116,0.871257803683,376.730313667,0.999227135772,-0.00671560884999,60.6838960196,60.6838960196
0.7,0.7,3.102,0.493069804168,0.869091554923,376.730313667,0.999218676077,-0.00678914597245,60.4320539745,60.4320539745
0.7,0.7,3.108,0.496883475809,0.866906965733,376.730313667,0.999210125934,-0.00686346996338,60.1800380785,60.1800380785
