channel_id,range_offset_m,azimuth_offset_m,outer_tile_count,outer_area_fraction,range_mod_frequency_hz,azimuth_mod_frequency_hz,source_id,target_range_m,target_azimuth_m
1,-9,21,17,0.346938775510204,36000000,112,1,-14,12
2,0,16,16,0.326530612244898,-0,85.3333333333333,1,-5,7
3,-4,10,16,0.326530612244898,16000000,53.3333333333333,1,-9,1
1,2,10,17,0.346938775510204,-8000000,53.3333333333333,2,7,1
2,-2,4,16,0.326530612244898,8000000,21.3333333333333,2,3,-5
3,9,-2,16,0.326530612244898,-36000000,-10.6666666666667,2,14,-11
