case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
未加超表面,uav,336425.979180943,8357386589326.21,-0.750000000000082,-0.5,0.28124999999984
加1-bit超表面,uav,335425.339095154,13591955020750.3,-0.750000000000082,-0.5,0.28124999999984
