case_name,target_count,amplitude_each,amplitude_each_db,power_sum_fraction
1to1,1,0.549875229297522,-5.19471687829197,0.302362767795002
1to2,2,0.274937614648761,-11.2153167915716,0.151181383897501
1to3,3,0.183291743099174,-14.7371419726852,0.100787589265001
1to4,4,0.13746880732438,-17.2359167048512,0.0755906919487506
1to5,5,0.109975045859504,-19.1741169650123,0.0604725535590005
1to9,9,0.0610972476997247,-24.2795670670785,0.0335958630883336
