case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
普通飞机,uav,56578.8297992165,36315128024.2038,-0.66666666666606,-0.833333333333333,0.16666666666696
超表面飞机,uav,19354.6196885137,35513656202.1312,-2.66666666666697,4.16666666666667,0.277777777778267
