outer_row,outer_col,channel_id,range_offset_m,azimuth_offset_m,inner_delay_set
1,1,1,-8,8,"[0,1/10,5/6,14/15]T"
2,1,1,-8,8,"[0,1/10,5/6,14/15]T"
3,1,2,0,8,"[0,1/10,5/6,14/15]T"
4,1,2,0,8,"[0,1/10,5/6,14/15]T"
5,1,3,8,8,"[0,1/10,5/6,14/15]T"
1,2,2,0,8,"[0,1/10,5/6,14/15]T"
2,2,3,8,8,"[0,1/10,5/6,14/15]T"
3,2,3,8,8,"[0,1/10,5/6,14/15]T"
4,2,1,-8,8,"[0,1/10,5/6,14/15]T"
5,2,1,-8,8,"[0,1/10,5/6,14/15]T"
1,3,3,8,8,"[0,1/10,5/6,14/15]T"
2,3,2,0,8,"[0,1/10,5/6,14/15]T"
3,3,1,-8,8,"[0,1/10,5/6,14/15]T"
4,3,3,8,8,"[0,1/10,5/6,14/15]T"
5,3,2,0,8,"[0,1/10,5/6,14/15]T"
1,4,1,-8,8,"[0,1/10,5/6,14/15]T"
2,4,1,-8,8,"[0,1/10,5/6,14/15]T"
3,4,2,0,8,"[0,1/10,5/6,14/15]T"
4,4,2,0,8,"[0,1/10,5/6,14/15]T"
5,4,3,8,8,"[0,1/10,5/6,14/15]T"
1,5,2,0,8,"[0,1/10,5/6,14/15]T"
2,5,3,8,8,"[0,1/10,5/6,14/15]T"
3,5,3,8,8,"[0,1/10,5/6,14/15]T"
4,5,1,-8,8,"[0,1/10,5/6,14/15]T"
5,5,1,-8,8,"[0,1/10,5/6,14/15]T"
