case_name,resolution_mode,peak_amplitude,total_energy,peak_range_m,peak_azimuth_m,area_3db_m2
未加超表面,uav,133873.597014762,853130375420.632,-0.375000000000107,-0.75,0.0624999999999645
加1-bit超表面,uav,133505.046655384,1389994068913.74,-0.375000000000107,-0.75,0.0624999999999645
